inicial_x,inicial_y,passos
140,56,5645
159,192,1485
131,194,274
60,184,9439
87,59,1868
141,194,9414
228,87,2811
103,57,9574
70,63,3950
146,193,4913
4,110,14841
245,142,16739
214,174,4133
187,185,1729
162,59,6507
134,56,2262
102,193,1223
215,78,1385
125,194,2966
77,189,5930
75,61,17638
236,156,5892
116,194,784
213,174,7779
171,60,776
212,175,3301
79,60,3157
125,194,1046
65,64,1199
159,192,4312
120,56,481
106,56,3371
76,61,1268
186,64,1417
206,73,3486
12,153,2490
149,193,3671
18,89,9066
181,63,20300
147,193,3874
76,189,4420
171,189,10370
115,56,4444
93,192,3725
245,107,14059
168,190,2549
96,57,1719
78,61,1336
146,193,2001
220,170,8197
132,56,620
125,194,6801
170,60,3587
141,194,2110
172,61,2040
38,75,4714
138,194,1247
119,56,3567
234,158,6163
124,194,3098
63,65,2312
165,191,6292
196,68,9063
46,71,11047
152,193,10337
49,70,2219
32,171,5456
94,58,267
146,193,1276
41,176,3934
69,187,3096
114,194,2099
76,61,659
66,186,2834
24,85,3606
114,56,7221
53,68,3198
139,56,7806
109,194,9491
220,80,962
6,104,2662
122,56,540
103,193,3423
16,158,3137
139,194,1915
65,186,600
7,147,17033
96,57,2917
132,56,386
111,194,516
35,77,2127
158,58,3643
145,194,5128
145,56,8981
238,96,3219
77,61,2805
117,56,13038
184,64,376
88,191,665
66,64,2012
130,194,827
41,74,2586
243,104,14786
132,56,234
140,56,1847
82,190,1049
49,180,15708
204,178,2320
235,92,15068
132,56,1259
59,66,6858
189,66,3173
79,190,1011
17,91,1369
203,71,5276
115,194,3021
174,61,4784
24,165,4904
65,64,6283
198,69,5857
203,71,6579
143,194,329
208,177,2168
84,59,3847
83,190,1965
88,59,4467
165,59,1601
230,88,2162
98,193,883
221,81,2138
114,194,1180
106,56,393
136,194,2594
55,68,18665
165,59,6812
217,78,1432
134,56,9354
235,157,3062
103,193,10447
119,56,10912
185,186,5481
241,150,2721
189,66,607
166,191,2707
51,69,3026
156,58,3776
