i,j,energy
12,140,1993
112,120,28271
228,106,7040
78,146,1684
228,105,14517
100,135,31
124,119,1
64,138,39
96,131,4193
117,130,21249
102,142,13
2,118,7439
104,143,15749
59,143,2902
67,143,6848
56,139,21332
246,130,7349
80,136,240
7,118,27048
84,134,2210
127,127,546
97,131,4135
125,119,13130
241,118,910
79,147,10977
105,143,18798
7,117,2712
233,115,6
5,117,82269
123,122,56309
227,117,458
123,124,6187
136,115,16685
7,116,13589
175,111,1
96,130,50
79,148,18623
3,130,4079
7,115,35804
191,100,5978
243,129,30
109,138,9609
248,134,491
1,118,15090
246,131,19313
58,156,9728
111,121,7488
111,124,69215
204,97,1545
132,129,10760
8,118,69910
227,118,3438
27,140,50079
174,112,1236
9,118,15902
78,148,1826
186,113,24150
190,111,613
104,144,11060
93,140,30707
118,122,31560
199,98,34262
116,133,13032
36,146,19654
241,117,8839
31,133,73798
158,108,3452
92,132,68199
129,120,3922
146,121,6
79,149,33536
247,134,13119
94,140,89895
202,96,52301
41,138,14570
60,136,2526
214,111,698
93,141,2506
203,95,16995
77,137,45771
135,115,68762
230,106,10528
2,117,7134
155,109,22836
154,110,63394
80,149,453
183,102,2039
123,118,31006
8,116,6836
106,143,641
135,126,47
237,122,223
108,127,25125
101,141,17594
134,114,10900
104,145,15403
103,145,16953
83,142,12383
248,122,25328
113,120,5114
42,150,596
126,128,26250
114,120,18634
17,140,34079
212,115,20579
175,112,72715
57,156,51252
41,136,2
88,133,9237
52,153,5844
148,113,9093
216,106,18732
136,114,2560
227,105,8993
86,137,15311
137,114,15821
143,114,49485
199,97,19669
159,116,5622
34,145,14098
204,113,8073
170,107,3146
11,129,7
186,114,39689
246,134,30230
180,98,54337
205,97,851
88,138,5718
16,126,42442
129,129,2779
78,147,1907
170,106,14750
96,129,1731
117,123,13684
128,129,16238
159,109,19103
168,107,2681
134,113,280
244,131,10529
236,124,4742
111,125,57005
191,101,1004
222,114,404
214,112,9101
199,96,567
154,119,25651
35,138,95570
244,132,53262
223,113,6293
9,116,9456
32,144,2835
240,115,28295
133,127,138
246,133,3508
216,108,1
164,115,272
9,115,21641
122,118,8955
6,117,83166
132,130,62549
154,120,41148
42,151,1542
206,112,1221
243,132,45739
10,115,52414
185,113,116
148,114,102
204,96,1411
243,133,4062
226,118,573
204,109,9
203,94,57
2,130,28863
62,144,12177
190,112,1153
55,154,992
214,106,1608
136,113,11574
203,93,23440
43,151,27082
139,117,9315
200,110,500
150,111,11557
115,133,1
194,100,14442
228,104,4114
58,154,21221
8,132,8697
95,130,1879
17,142,18583
174,117,33369
53,154,40
155,120,27918
156,120,13974
58,157,37427
243,130,63295
205,99,2473
31,144,28932
181,101,1
157,107,1800
116,123,1
188,106,24067
92,139,2579
177,101,752
141,119,4686
227,119,12093
103,130,251
102,145,38078
55,155,3
132,131,36538
14,126,10364
101,132,2433
165,107,32
47,151,36171
122,117,1270
98,130,10409
98,138,1525
241,115,90455
211,114,8052
17,128,2569
133,128,30769
164,116,2370
165,115,66456
204,94,31425
228,119,23237
135,113,33226
6,116,12010
2,116,2084
41,151,20
177,100,11698
94,141,9077
134,112,41076
105,144,186
233,123,16390
160,118,31717
161,118,185
176,101,5414
9,114,613
243,134,28565
206,97,122
85,134,4005
160,109,30063
107,141,132887
206,98,12496
156,107,12620
210,114,27548
75,136,22854
76,136,1155
10,114,71855
158,107,5184
179,97,65334
115,120,12
233,117,31704
39,134,11037
134,124,14180
177,97,8597
179,112,284
100,141,60615
104,146,21823
110,128,9946
135,112,26349
32,145,2178
117,133,12142
249,122,20978
18,128,4510
147,118,301
122,116,7758
10,118,2319
176,99,25058
179,113,42
10,113,24316
84,133,632
10,116,14919
121,116,17535
38,147,15
117,134,65784
181,98,71805
14,139,19701
57,144,78762
229,104,11156
101,145,22137
226,105,7341
111,123,2920
95,129,18205
17,134,52073
115,119,6954
128,121,7750
25,138,19894
78,149,5520
2,115,6202
232,123,91
93,142,49703
225,114,32147
42,152,9613
20,141,2845
1,116,13039
80,150,14686
230,104,39949
133,112,41652
86,135,215
206,99,20338
17,127,4317
175,99,75339
103,146,34803
147,121,4652
204,93,46696
226,119,23887
227,120,3664
207,97,340
17,130,53497
178,97,9248
248,135,13865
133,131,19275
180,100,25294
198,96,3756
55,156,2910
108,140,26427
16,142,4050
156,121,21359
57,150,3783
93,131,46157
179,114,8287
43,152,8800
95,128,1444
179,96,9449
9,113,5893
59,154,28065
229,103,8819
69,136,3057
243,135,5356
83,135,15220
52,154,13309
175,104,16519
175,115,6068
28,142,17328
18,130,17363
180,113,13773
9,112,47643
17,143,11415
206,96,29317
1,121,5
236,114,5232
107,130,21191
32,146,23282
104,147,478
84,132,30386
206,95,409
63,144,246
134,128,1366
204,114,3354
120,116,1
92,131,73
203,92,8896
121,115,2736
11,137,304
2,131,89
181,113,9369
154,121,8023
207,105,4
134,129,17125
217,106,423
29,140,13908
127,128,41807
108,141,43614
111,120,1099
140,124,9
242,134,903
81,150,17882
135,111,118488
7,114,96370
84,142,5462
57,157,12773
42,153,1855
82,150,38195
201,111,2789
135,110,4371
144,114,3491
202,92,172
15,142,101
34,146,14537
233,124,9863
128,120,6357
118,134,33572
10,112,24709
235,125,31329
240,114,1590
74,136,788
19,128,58837
83,150,629
211,115,10837
121,114,30072
95,127,15203
135,109,22772
197,96,225
128,130,13322
148,121,7575
114,119,16860
42,134,60162
197,95,6827
77,147,178
131,129,29143
230,103,42968
92,140,25173
98,129,36518
163,115,36533
241,114,1712
122,114,42773
245,133,29267
57,158,5165
94,127,47
96,128,19136
83,132,1435
80,135,578
57,159,70942
39,133,26330
11,114,2422
128,131,870
156,122,15206
58,159,8828
227,121,51
3,117,9393
59,155,1001
84,150,3311
69,135,26700
83,151,38317
241,116,18578
187,113,3
80,151,792
158,118,15590
79,135,2469
97,129,49770
106,144,42410
157,119,114
42,154,8792
210,115,15836
229,105,10315
244,134,16303
168,106,8117
2,114,18929
248,136,6327
137,113,1164
204,115,61
85,150,4386
228,103,2086
107,144,10924
110,124,1
101,144,7652
211,104,18222
203,91,51741
158,106,394
53,155,4341
101,146,25756
125,121,1
124,124,1
84,151,18228
18,143,9869
104,148,2031
19,143,906
69,134,6192
171,115,29359
17,144,16828
79,151,33791
240,113,1674
249,135,35418
122,113,40549
83,131,45869
229,102,823
242,117,28841
157,122,2143
109,139,8265
2,113,6040
232,112,47171
57,160,10598
132,132,5518
7,113,74878
249,136,21040
105,147,12521
3,114,936
202,93,880
9,111,55954
41,154,2971
227,122,44052
174,118,30525
33,134,12505
109,140,5869
111,119,5745
40,133,25464
179,95,23465
11,118,6578
198,98,28955
210,116,18
84,152,5390
70,134,18568
140,125,6841
11,138,36418
6,125,7500
203,113,35470
94,142,3449
94,126,41177
78,143,3
240,112,677
48,140,2
243,136,419
232,122,85
18,144,112
219,113,24569
59,139,201
242,133,18267
48,139,821
228,120,24294
191,112,4632
85,151,41965
241,133,3069
42,155,26021
200,111,457
233,125,22401
100,146,178
9,110,1462
190,100,33923
146,122,628
49,140,24509
213,114,5441
111,118,5226
157,120,275
92,133,1340
188,113,523
43,154,37805
104,149,26501
142,114,16992
179,94,594
43,155,3290
175,116,1476
104,150,2537
79,150,15735
203,114,3226
120,114,58
51,154,45087
243,137,605
242,130,544
56,160,40674
58,137,76
174,99,6593
106,147,6274
248,137,703
86,151,32012
56,159,3722
228,122,3634
230,102,13019
222,115,3488
85,140,34183
57,149,2
16,143,171
75,135,13
78,150,75400
113,132,47
7,112,45606
174,108,6630
19,127,47962
62,142,15002
173,118,7018
170,105,10986
33,146,30439
173,99,1451
242,114,2903
107,145,25098
178,113,21425
192,98,24859
8,110,32443
11,139,41087
141,125,337
11,140,2654
38,133,51638
237,114,518
10,119,5095
77,149,91446
58,136,2017
10,111,1975
203,90,81700
212,116,63642
103,150,25573
205,93,433
248,138,37722
150,110,75596
30,133,44568
212,117,304
192,97,526
159,111,1
214,105,633
242,137,49872
10,138,10670
242,138,3428
181,97,1755
243,138,21058
226,122,2274
173,107,2
10,110,22675
11,115,120052
55,157,2887
211,103,2199
122,112,461
173,119,22537
142,125,275
175,98,7583
110,125,53826
232,124,17621
80,134,93800
167,107,5589
180,110,1869
170,104,4980
67,140,1
242,136,12991
239,112,15828
197,94,8257
204,92,14248
242,139,4422
227,123,9905
204,116,57169
81,134,22777
53,156,51507
33,133,15696
58,135,338
30,132,35737
199,110,168
131,130,28983
227,124,538
160,119,4532
10,135,17433
20,143,20267
20,144,3
103,147,66539
160,120,18
127,131,19505
237,113,14065
79,134,2372
8,109,6121
132,133,1260
173,120,8927
94,125,31321
103,148,22914
94,124,485
