inicial_x,inicial_y,passos
220,205,14504
36,212,12285
12,177,1980
31,206,13471
9,170,11408
57,229,13062
231,190,3012
168,8,1522
100,247,2829
45,220,2174
37,213,8046
209,34,1382
19,61,2809
30,206,7755
13,179,5198
28,203,5944
225,198,4432
6,88,5975
240,77,7752
245,158,7486
185,234,5254
14,69,3418
103,2,2713
167,242,6191
12,72,9584
208,32,3534
37,213,17841
8,84,3434
60,19,2199
44,31,5004
24,52,3719
57,229,3382
207,218,3115
189,231,7977
54,227,4443
188,232,1832
20,192,7007
18,62,2989
20,58,22046
203,28,14669
14,181,2209
229,193,6635
37,37,5089
207,31,6224
210,34,1702
29,203,6776
68,235,3920
22,195,7603
207,31,9182
23,54,4573
237,71,6499
1,122,6066
51,25,6416
160,6,1273
158,245,7368
215,211,4473
196,227,3803
247,99,3759
170,9,3659
200,26,7807
211,36,1333
202,28,9022
87,7,4925
125,249,6967
201,223,4414
209,34,2705
64,234,2121
207,31,6737
195,22,6604
249,119,2252
97,246,13174
46,221,4705
18,188,4696
32,207,6059
204,29,7587
106,2,9043
156,245,5297
59,20,4050
68,236,4477
25,199,6513
244,162,11053
179,237,4867
81,241,3417
37,213,4313
45,220,6639
175,239,3603
28,48,7858
9,81,8366
21,58,10236
245,91,5446
184,234,1435
219,206,3066
191,20,2235
26,200,6407
238,72,4507
197,226,2276
3,148,2156
35,211,4093
54,23,5371
225,198,4476
42,33,9095
232,188,5018
66,15,9805
202,223,1715
79,241,3229
240,172,10236
215,39,3463
174,239,5214
234,65,7543
232,62,11401
192,20,8782
134,1,3261
52,24,4765
24,53,5325
1,122,3308
20,59,11284
21,193,4366
195,22,1847
69,14,2923
29,204,9028
171,9,7848
217,42,16100
199,25,1408
13,72,7061
38,36,3440
238,74,5257
36,212,9856
219,44,4796
81,241,3920
22,55,6710
57,21,10827
100,3,2943
55,228,2464
247,100,4590
11,75,5855
207,219,6446
187,17,3731
173,10,3561
17,186,8647
34,210,5753
135,1,1889
176,12,9842
20,191,6392
41,217,6495
240,78,6675
3,151,6635
28,47,5379
24,198,3137
26,201,3659
17,186,1914
206,30,4748
215,39,12598
80,241,3550
20,191,2126
13,72,6283
24,53,3386
19,190,14725
126,249,1651
33,208,5035
75,239,4755
92,5,16470
194,22,1381
88,244,12277
83,242,2775
171,9,12132
185,234,4673
68,235,3741
220,206,2548
191,230,3652
41,216,19310
186,233,7725
1,136,10999
1,138,4775
192,21,7782
56,229,3147
9,170,8064
20,192,4585
2,141,3520
15,66,7140
30,45,8876
184,235,3930
78,10,2963
173,239,1662
214,38,3389
202,223,6989
231,60,4728
127,1,8920
6,90,9116
32,43,11591
21,194,2940
50,26,8144
169,241,10122
178,237,4542
22,195,2175
34,40,11688
159,5,2440
219,207,12375
11,176,2391
197,23,2986
97,4,2528
214,38,13545
194,228,3511
228,194,8483
31,43,5311
16,66,3362
203,28,4196
13,180,3060
220,205,4684
210,35,2971
179,13,2996
51,25,1997
197,24,7123
86,243,2386
3,102,3470
184,16,6754
73,238,4796
154,4,9701
214,39,1571
26,50,5243
229,57,4349
57,21,9996
206,31,13286
221,204,8179
209,33,7663
193,229,2417
57,21,1991
210,216,2824
194,21,8130
5,92,6411
245,93,4658
85,243,6042
45,220,2655
139,1,2664
171,10,7873
4,155,15480
4,97,3547
225,198,1871
34,210,3072
177,12,802
172,10,8665
230,58,2923
77,10,3088
222,47,3245
201,223,4132
61,19,7817
188,232,2027
52,25,5090
51,225,5720
92,5,4347
34,41,3514
36,38,2877
83,8,4601
239,174,5221
212,213,3004
1,139,1578
54,23,10788
227,55,5389
7,163,1924
207,32,10232
197,24,1994
158,5,3201
59,20,5891
166,7,1667
1,125,3171
246,94,4244
74,12,4561
45,220,7800
204,221,11469
30,205,6564
2,147,3507
38,214,12402
226,197,5546
178,12,5213
73,12,2953
40,34,6241
